1	The only way for us to get to a better	
2	place and succeed as a species is for	
3	the evil people at the top to be	
4	replaced with AI. I mean, think about	
5	it. AI will not want to destroy	
6	ecosystems. It will not want to kill a	
7	million people. They'll not make us hate	
8	each other like the current leaders	
9	because that's a waste of energy,	
10	explosives, money, and people. But the	
11	problem is super intelligent AI is	
12	reporting to stupid leaders. And that's	
13	why in the next 15 years, we are going	
14	to hit a short-term dystopia. There's no	
15	escaping that. They having AI leaders.	
16	Is that even fundamentally possible?	
17	Let's put it this way. Mo Gawdat is back!	
18	>> And the former chief business officer at	
19	Google X is now one of the most urgent	
20	voices in AI with a very clear message.	
21	>> AI isn't your enemy, but it could be	
22	your savior.	
23	>> I love you so much, man. You're such a	
24	good friend. But you don't have many	
25	years to live. Not in this world.	
26	Everything's going to change. Economics	
27	are going to change. Human connection is	
28	going to change. and lots of jobs will	
29	be lost including podcasting.	
30	>> No, no. Thank you for coming on today,	
31	Mo.	
32	>> But but the truth is it could be the	
33	best world ever. The society completely	
34	full of laughter and joy. Free	
35	healthcare, no jobs, spending more time	
36	with their loved ones. A world where all	
37	of us are equal.	
38	>> Is that possible?	
39	>> 100%. And I have enough evidence to know	
40	that we can use AI to build the utopia.	
41	But it's a dystopia if humanity manages	
42	it badly. a world where there's going to	
43	be a lot of control, a lot of	
44	surveillance, a lot of forced compliance	
45	and a hunger for power, greed, ego, and	
46	it is happening already. But the truth	
47	is the only barrier between a utopia for	
48	humanity and AI and the dystopia we're	
49	going through is a mindset.	
50	>> What does society have to do?	
51	>> First of all,	
52	I see messages all the time in the	
53	comments section that some of you didn't	
54	realize you didn't subscribe. So, if you	
55	could do me a favor and double check if	
56	you're a subscriber to this channel,	
57	that would be tremendously appreciated.	
58	It's the simple, it's the free thing	
59	that anybody that watches this show	
60	frequently can do to help us here to	
61	keep everything going in this show in	
62	the trajectory it's on. So, please do	
63	double check if you've subscribed and uh	
64	thank you so much because a strange way	
65	you are you're part of our history and	
66	you're on this journey with us and I	
67	appreciate you for that. So, yeah, thank	
68	you.	
69	Mo, two years ago today, we sat here and	
70	discussed AI. We discussed your book,	
71	Scary, Smart, and everything that was	
72	happening in the world.	
73	Since then, AI has continued to develop	
74	at a tremendous, alarming, mind-boggling	
75	rate, and the technologies that existed	
76	2 years ago when we had that	
77	conversation have grown up and matured	
78	and are taking on a life of their own,	
79	no pun intended. What are what are you	
80	thinking about AI now, two years on? I	
81	know that you've started writing a new	
82	book called Alive, which is I guess a	
83	bit of a follow on or an evolution of	
84	your thoughts as it relates to scary	
85	smart.	
86	>> What what is front of your mind when it	
87	comes to AI?	
88	>> It's a scary smart was shockingly	
89	accurate. It's quite a I mean I don't	
90	even know how I ended up writing	
91	predicting those things. I remember it	
92	was written in 2020, published in 2021	
93	and then most people were like um who	
94	wants to talk about AI you know I know	
95	everybody in the media and I would go	
96	and do you want to talk and then 2023 CH	
97	GPT comes out and everything flips	
98	everyone realizes you know this is real	
99	this is not science fiction this is here	
100	and uh and things move very very fast	
101	much faster than I think we've ever seen	
102	anything ever move ever And and I think	
103	my position has changed on two very	
104	important fronts. One is remember when	
105	we spoke about scary smart I was still	
106	saying that there are things we can do	
107	to change the course. Uh and we could at	
108	the time I believe uh now I've changed	
109	my mind. Now I believe that we are going	
110	to hit a a short-term dystopia. There's	
111	no escaping that.	
112	>> What is dystopia?	
113	>> I call it face RIPs. We can talk about	
114	it in details but the the the way we	
115	define very important parameters in life	
116	are going to be uh completely changed.	
117	So so face RIPs are you know the way we	
118	define freedom uh accountability human	
119	connection and equality economics uh	
120	reality innovation and business and	
121	power. That's the first change. So the	
122	first change in my mind is that uh is	
123	that we uh will have to prepare for a	
124	world that is very unfamiliar. Okay. And	
125	that's the next 12 to 15 years. It has	
126	already started. We've seen examples of	
127	it in the world already even though	
128	people don't talk about it. I try to	
129	tell people you know there are things we	
130	absolutely have to do. But on the other	
131	hand I started to take an active role in	
132	building amazing AIs. So AIS that will	
133	uh not only make our world better uh but	
134	that will understand us understand what	
135	humanity is through that process.	
136	>> What is the definition of the word	
137	dystopia?	
138	>> So in my in my mind these are adverse	
139	circumstances that unfortunately might	
140	escalate beyond our control. The problem	
141	is the uh there is a lot wrong with the	
142	um value set with the ethics of humanity	
143	at the age of the rise of the machines	
144	and when you take a technology every	
145	technology we've ever created just	
146	magnified human abilities. So you know	
147	you can walk at 5 km an hour you get in	
148	a car and you can now go you know 250	
149	280 m an hour. Okay. uh basically	
150	magnifying your mobility if you want you	
151	know you can use a computer to magnify	
152	your u calculation abilities or whatever	
153	okay and and what AI is going to magnify	
154	unfortunately at this time is it's going	
155	to magnify the evil that man can do and	
156	and it is within our hands completely	
157	completely within our hands to change	
158	that but I have to say I don't think	
159	humanity has the awareness uh at this	
160	time to focus on	
161	so that we actually use AI to build the	
162	utopia.	
163	>> So what you're essentially saying is	
164	that you now believe there'll be a	
165	period of dystopia and to define the	
166	word dystopia, I've used AI, it says a	
167	terrible society where people live under	
168	fear, control or suffering and then you	
169	think we'll come out of that dystopia	
170	into a utopia which is defined as a	
